"","Results","on","group"
"1",0.764004400981163,1,"1"
"2",0.688755500380564,1,"1"
"3",0.771648215351368,1,"1"
"4",0.781837915581266,1,"1"
"5",0.652733572863385,1,"1"
"6",0.715191773237173,1,"1"
"7",0.563192456177287,1,"1"
"8",0.680126840513578,1,"1"
"9",0.793343588309187,1,"1"
"10",0.683057235242481,1,"1"
"11",0.622494180333249,1,"1"
"12",0.749886687328466,1,"1"
"13",0.728570169874432,1,"1"
"14",0.7022920379853,1,"1"
"15",0.606779350807963,1,"1"
"16",0.71705629490199,1,"1"
"17",0.730595472615897,1,"1"
"18",0.71949459561568,1,"1"
"19",0.658813636786178,1,"1"
"20",0.864062911464561,1,"1"
"21",0.860254076750456,1,"1"
"22",0.714604318514671,1,"1"
"23",0.680121905436367,1,"1"
"24",0.661917763494038,1,"1"
"25",0.761283125524976,1,"1"
"26",0.654875542619151,1,"1"
"27",0.656050839707225,1,"1"
"28",0.694105030424904,1,"1"
"29",0.84567515873306,1,"1"
"30",0.639191553405245,1,"1"
"31",0.315811111394095,0,"2"
"32",0.283359099343622,0,"2"
"33",0.230772806657423,0,"2"
"34",0.315070040227746,0,"2"
"35",0.287535224201593,0,"2"
"36",0.27540796341149,0,"2"
"37",0.290282665867344,0,"2"
"38",0.31556010286456,0,"2"
"39",0.301103904616082,0,"2"
"40",0.248761418940664,0,"2"
"41",0.238664046418379,0,"2"
"42",0.273747221052012,0,"2"
"43",0.30212918076796,0,"2"
"44",0.292204523569929,0,"2"
"45",0.28341296842113,0,"2"
"46",0.276986264719914,0,"2"
"47",0.34934746407572,0,"2"
"48",0.275961548991447,0,"2"
"49",0.300531499251722,0,"2"
"50",0.266165890991249,0,"2"
"51",0.306479067495018,0,"2"
"52",0.313842953046469,0,"2"
"53",0.2912110164191,0,"2"
"54",0.283064777617638,0,"2"
"55",0.257523874958245,0,"2"
"56",0.234117179195271,0,"2"
"57",0.223334472935269,0,"2"
"58",0.30166807653684,0,"2"
"59",0.273421243508586,0,"2"
"60",0.288585653713321,0,"2"
"61",0.717137741867733,1,"3"
"62",0.838450388247409,1,"3"
"63",0.599570659387132,1,"3"
"64",0.699601208378146,1,"3"
"65",0.820578451268277,1,"3"
"66",0.76834503160712,1,"3"
"67",0.834971590903526,1,"3"
"68",0.788035297194278,1,"3"
"69",0.721159721014786,1,"3"
"70",0.736119645524623,1,"3"
"71",0.788715408269602,1,"3"
"72",0.674390446686146,1,"3"
"73",0.848228201718718,1,"3"
"74",0.747141446125223,1,"3"
"75",0.794256309955098,1,"3"
"76",0.747792353550932,1,"3"
"77",0.735483663912596,1,"3"
"78",0.850844424582185,1,"3"
"79",0.698173826935209,1,"3"
"80",0.719728934599524,1,"3"
"81",0.813422474687371,1,"3"
"82",0.762854053663549,1,"3"
"83",0.612526556550013,1,"3"
"84",0.814238477125076,1,"3"
"85",0.697278730828894,1,"3"
"86",0.740171924896755,1,"3"
"87",0.667800290214768,1,"3"
"88",0.70130696471829,1,"3"
"89",0.696833175794925,1,"3"
"90",0.643231898827694,1,"3"
"91",0.751250930686189,1,"4"
"92",0.598123507245664,1,"4"
"93",0.773175085611285,1,"4"
"94",0.756368113691836,1,"4"
"95",0.679043483819946,1,"4"
"96",0.674923685860926,1,"4"
"97",0.694855547820289,1,"4"
"98",0.817170170053163,1,"4"
"99",0.919824916149797,1,"4"
"100",0.707118311798371,1,"4"
"101",0.732821768671844,1,"4"
"102",0.694746715434131,1,"4"
"103",0.744662636620467,1,"4"
"104",0.734392214373962,1,"4"
"105",0.686556702338117,1,"4"
"106",0.807827731854864,1,"4"
"107",0.705793247641156,1,"4"
"108",0.650289516471993,1,"4"
"109",0.701711948872479,1,"4"
"110",0.847427554489538,1,"4"
"111",0.70414641397989,1,"4"
"112",0.729956151620238,1,"4"
"113",0.751893727811792,1,"4"
"114",0.726255282010337,1,"4"
"115",0.731716385513307,1,"4"
"116",0.722422654470402,1,"4"
"117",0.847908855570862,1,"4"
"118",0.78045696053159,1,"4"
"119",0.804505905068121,1,"4"
"120",0.665974430784635,1,"4"
